Frame,Visibility,X,Y
1175,-1,915,268
1176,-1,915,268
1177,-1,915,268
1178,-1,915,268
1179,-1,915,268
1180,-1,915,268
1181,-1,915,268
1182,-1,915,268
1183,-1,915,268
1184,-1,915,268
1185,-1,915,268
1186,-1,915,268
1187,-1,915,268
1188,-1,915,268
1189,-1,915,268
1190,-1,915,268
1191,-1,915,268
1192,-1,915,268
1193,-1,915,268
1194,-1,915,268
1195,-1,915,268
1196,-1,915,268
1197,-1,915,268
1198,-1,915,268
1199,-1,915,268
1200,-1,915,268
1201,-1,915,268
1202,-1,915,268
1203,-1,915,268
1204,-1,915,268
1205,-1,915,268
1206,-1,915,268
1207,-1,915,268
1208,-1,915,268
1209,-1,915,268
1210,-1,915,268
1211,-1,915,268
1212,-1,915,268
1213,-1,915,268
1214,-1,915,268
1215,-1,915,268
1216,-1,915,268
1217,-1,874,282
1218,-1,812,290
1219,-1,727,317
1220,-1,657,373
1221,-1,569,363
1222,-1,502,334
1223,-1,452,324
1224,-1,408,285
1225,-1,405,249
1226,-1,259,217
1227,-1,409,244
1228,-1,416,244
1229,-1,451,249
1230,-1,497,251
1231,-1,601,281
1232,-1,681,272
1233,-1,751,264
1234,-1,865,283
1235,-1,914,268
1236,-1,915,268
1237,-1,915,268
1238,-1,915,268
1239,-1,915,268
1240,-1,915,268
1241,-1,915,268
1242,-1,915,268
1243,-1,915,268
1244,-1,915,268
1245,-1,915,268
1246,-1,915,268
1247,-1,915,268
1248,-1,915,268
1249,-1,915,268
1250,-1,915,268
1251,-1,915,268
1252,-1,915,268
1253,-1,915,268
1254,-1,915,268
1255,-1,915,268
1256,-1,915,268
1257,-1,915,268
1258,-1,915,268
1259,-1,915,268
1260,-1,915,268
1261,-1,915,268
1262,-1,915,268
1263,-1,915,268
1264,-1,915,268
1265,-1,915,268
1266,-1,915,268
1267,-1,853,284
1268,-1,774,316
1269,-1,696,356
1270,-1,639,406
1271,-1,516,414
1272,-1,419,406
1273,-1,358,412
1274,-1,319,380
1275,-1,315,332
1276,-1,230,300
1277,-1,247,291
1278,-1,258,285
1279,-1,267,272
1280,-1,277,263
1281,-1,285,254
1282,-1,297,249
1283,-1,307,240
1284,-1,318,237
1285,-1,370,240
1286,-1,373,261
1287,-1,372,284
1288,-1,410,299
1289,-1,427,348
1290,-1,389,312
1291,-1,390,276
1292,-1,262,242
1293,-1,400,259
1294,-1,407,260
1295,-1,433,264
1296,-1,490,263
1297,-1,590,303
1298,-1,666,310
1299,-1,743,273
1300,-1,857,285
1301,-1,914,268
1302,-1,915,268
1303,-1,915,268
1304,-1,915,268
1305,-1,915,268
1306,-1,915,268
1307,-1,915,268
1308,-1,915,268
1309,-1,915,268
1310,-1,915,268
1311,-1,915,268
1312,-1,915,268
1313,-1,915,268
1314,-1,915,268
1315,-1,915,268
1316,-1,915,268
1317,-1,915,268
1318,-1,915,268
1319,-1,915,268
1320,-1,915,268
1321,-1,915,268
1322,-1,915,268
1323,-1,915,268
1324,-1,915,268
1325,-1,915,268
1326,-1,915,268
1327,-1,915,268
1328,-1,915,268
1329,-1,915,268
1330,-1,915,268
1331,-1,915,268
1332,-1,915,268
1333,-1,915,268
1334,-1,915,268
1335,-1,915,268
1336,-1,915,268
1337,-1,915,268
1338,-1,915,268
1339,-1,915,268
1340,-1,915,268
1341,-1,946,296
1342,-1,963,307
1343,-1,975,292
1344,-1,978,250
1345,-1,968,255
1346,-1,975,241
1347,-1,997,260
1348,-1,1006,276
1349,-1,1025,310
1350,-1,1048,344
1351,-1,1061,370
1352,-1,1078,402
1353,-1,1101,437
1354,-1,1125,480
1355,-1,1146,527
1356,-1,1174,585
1357,-1,1202,650
1358,-1,1226,699
1359,-1,1254,753
1360,-1,1243,813
1361,-1,1270,835
1362,-1,1260,887
1363,-1,1302,943
1364,-1,1306,982
1365,-1,1325,1008
1366,-1,1326,1023
1367,-1,1335,1026
1368,-1,1329,992
1369,-1,1335,956
1370,-1,1356,932
1371,-1,1339,885
1372,-1,1339,854
1373,-1,1339,830
1374,-1,1339,795
1375,-1,1335,769
1376,-1,1335,746
1377,-1,1329,722
1378,-1,1324,705
1379,-1,1320,688
1380,-1,1314,670
1381,-1,1309,660
1382,-1,1305,648
1383,-1,1296,639
1384,-1,1290,631
1385,-1,1284,625
1386,-1,1279,620
1387,-1,1279,598
1388,-1,1279,574
1389,-1,1279,555
1390,-1,1275,537
1391,-1,1275,523
1392,-1,1275,513
1393,-1,1269,508
1394,-1,1257,498
1395,-1,1245,490
1396,-1,1230,489
1397,-1,1215,487
1398,-1,1204,484
1399,-1,1189,484
1400,-1,1174,487
1401,-1,1155,489
1402,-1,1138,495
1403,-1,1119,503
1404,-1,1095,513
1405,-1,1074,526
1406,-1,1048,541
1407,-1,1020,557
1408,-1,992,579
1409,-1,962,602
1410,-1,935,628
1411,-1,905,656
1412,-1,877,686
1413,-1,847,718
1414,-1,815,750
1415,-1,787,786
1416,-1,760,816
1417,-1,728,857
1418,-1,705,891
1419,-1,690,915
1420,-1,659,963
1421,-1,643,995
1422,-1,644,999
1423,-1,667,978
1424,-1,667,942
1425,-1,712,890
1426,-1,700,822
1427,-1,645,771
1428,-1,746,694
1429,-1,820,609
1430,-1,924,499
1431,-1,822,426
1432,-1,711,554
1433,-1,686,618
1434,-1,603,706
1435,-1,565,747
1436,-1,530,791
1437,-1,512,862
1438,-1,516,905
1439,-1,485,940
1440,-1,480,953
1441,-1,481,960
1442,-1,505,944
1443,-1,505,914
1444,-1,560,856
1445,-1,589,779
1446,-1,547,744
1447,-1,707,678
1448,-1,805,602
1449,-1,915,483
1450,-1,915,268
1451,-1,915,268
1452,-1,915,268
1453,-1,915,268
1454,-1,915,268
1455,-1,915,268
1456,-1,915,268
1457,-1,915,268
1458,-1,915,268
1459,-1,915,268
1460,-1,915,268
